#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.9498	-182.660407541	-0.0358108108108	-25.5035286	0.005	-24.30963	0.005
-0.9998	-184.586671054	-0.0358108108108	-25.7724786	0.005	-24.51573	0.005
-1.0998	-188.140034568	-0.0358108108108	-26.2686086	0.005	-24.88616	0.005
-1.1998	-191.326194027	-0.0358108108108	-26.7134686	0.005	-25.20532	0.005
-1.2999	-194.259355122	-0.0358108108108	-27.1230043	0.005	-25.48903	0.005
-1.3998	-196.951642676	-0.0358108108108	-27.4989086	0.005	-25.73936	0.005
-1.4998	-199.448945378	-0.0358108108108	-27.8475886	0.005	-25.96234	0.005
-1.5997	-201.786518085	-0.0358108108108	-28.173966676	0.005	-26.14351	0.005
-1.6999	-204.061745765	-0.0358108108108	-28.4916399747	0.005	-26.2959	0.005
-1.7998	-206.223526429	-0.0358108108108	-28.7934735014	0.005	-26.41845	0.005
-1.8998	-208.286633131	-0.0358108108108	-29.0815299088	0.005	-26.50482	0.005
-1.8002	-206.211563031	-0.0358108108108	-28.7918031402	0.005	-26.41597	0.005
-1.7002	-204.08807335	-0.0358108108108	-28.4953159017	0.005	-26.29905	0.005
-1.6001	-201.824121635	-0.0358108108108	-28.179216983	0.005	-26.14807	0.005
-1.5001	-199.454502481	-0.0358108108108	-27.8483644973	0.005	-25.96269	0.005
-1.4001	-197.080254338	-0.0358108108108	-27.5168657	0.005	-25.75694	0.005
-1.3001	-194.361784068	-0.0358108108108	-27.1373057	0.005	-25.50308	0.005
-1.2001	-191.459604338	-0.0358108108108	-26.7320957	0.005	-25.22357	0.005
-1.1	-188.212239189	-0.0358108108108	-26.27869	0.005	-24.89599	0.005
-1.0	-184.726916216	-0.0358108108108	-25.79206	0.005	-24.53506	0.005
-0.95	-182.868335135	-0.0358108108108	-25.53256	0.005	-24.33841	0.005
-0.9	-180.851685135	-0.0358108108108	-25.25099	0.005	-24.11969	0.005
-0.8499	-178.720686203	-0.0358108108108	-24.9534543	0.005	-23.88513	0.005
-0.7999	-176.495259176	-0.0358108108108	-24.6427343	0.005	-23.63726	0.005
-0.7499	-174.09851323	-0.0358108108108	-24.3080943	0.005	-23.36547	0.005
-0.7	-171.554410811	-0.0358108108108	-23.95288	0.005	-23.07298	0.005
-0.6499	-168.835255122	-0.0358108108108	-23.5732243	0.005	-22.7563	0.005
-0.5999	-165.898052419	-0.0358108108108	-23.1631243	0.005	-22.40905	0.005
-0.5499	-162.654022689	-0.0358108108108	-22.7101843	0.005	-22.01896	0.005
-0.4999	-159.08805377	-0.0358108108108	-22.2122943	0.005	-21.58392	0.005
-0.4499	-155.122364581	-0.0358108108108	-21.6585943	0.005	-21.09307	0.005
-0.3998	-150.672830514	-0.0358108108108	-21.0373386	0.005	-20.53479	0.005
-0.3499	-145.563742959	-0.0358108108108	-20.3239943	0.005	-19.88417	0.005
-0.2999	-139.60876323	-0.0358108108108	-19.4925443	0.005	-19.11557	0.005
-0.2499	-132.421676743	-0.0358108108108	-18.4890643	0.005	-18.17494	0.005
-0.1998	-123.50839673	-0.0358108108108	-17.2445686	0.005	-16.99342	0.005
-0.1499	-111.777961878	-0.0358108108108	-15.6067343	0.005	-15.41831	0.005
-0.0999	-94.9968726892	-0.0358108108108	-13.2637143	0.005	-13.13814	0.005
-0.0973	-93.8945572027	-0.0358108108108	-13.1098061	0.005	-12.9875	0.005
-0.0948	-92.8006622703	-0.0358108108108	-12.9570736	0.005	-12.83791	0.005
-0.0923	-91.6968119324	-0.0358108108108	-12.8029511	0.005	-12.68693	0.005
-0.0898	-90.5527102432	-0.0358108108108	-12.6432086	0.005	-12.53033	0.005
-0.0873	-89.3783842297	-0.0358108108108	-12.4792461	0.005	-12.36951	0.005
