#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.0949	-13.1345873531	-0.0405350628293	-1.62015135	0.005	-1.482404	0.005
-0.0924	-12.8477470612	-0.0405350628293	-1.5847696	0.005	-1.450651	0.005
-0.0899	-12.5066303202	-0.0405350628293	-1.54269285	0.005	-1.412203	0.005
-0.0874	-12.2773579246	-0.0405350628293	-1.5144121	0.005	-1.387551	0.005
-0.0849	-11.9865289826	-0.0405350628293	-1.47853835	0.005	-1.355306	0.005
-0.0824	-11.6229233887	-0.0405350628293	-1.4336876	0.005	-1.314084	0.005
-0.0799	-11.365860154	-0.0405350628293	-1.40197885	0.005	-1.286004	0.005
-0.0774	-11.1021815971	-0.0405350628293	-1.3694541	0.005	-1.257108	0.005
-0.0749	-10.7736388326	-0.0405350628293	-1.32892835	0.005	-1.220211	0.005
-0.0724	-10.4775241184	-0.0405350628293	-1.2924026	0.005	-1.187314	0.005
-0.0699	-10.1099298743	-0.0405350628293	-1.24705985	0.005	-1.1456	0.005
-0.0674	-9.80585407377	-0.0405350628293	-1.2095521	0.005	-1.111721	0.005
-0.0649	-9.49917592217	-0.0405350628293	-1.17172335	0.005	-1.077521	0.005
