#Loaded datafile ../../AH11_HYST_100OE_10K.DAT
#Rescaled data with factor 0.11252542287218859
#B/T	M/kAm-1	sM/kAm-1
-1.2483392578125	-464.2448871551521	9.738576098196378e-05
-1.2426004394531298	-463.80663059679364	9.19959311080476e-05
-1.236849609375	-463.36392344716336	0.00012471211094138316
-1.23058188476563	-463.0753223036142	9.389657129967231e-05
-1.225092578125	-462.71674204386176	8.796968290666498e-05
-1.2161011230468701	-462.3150179920914	0.00010526122253972437
-1.2131091796875	-461.60586874903294	9.390737679262432e-05
-1.20763061523437	-461.2577696295153	0.00011443481072549697
-1.20214360351562	-460.8876315537991	9.772571173175576e-05
-1.19639877929688	-460.47742640171407	9.697256741990289e-05
-1.1903884277343701	-460.00924776325667	0.00011512101830775314
-1.18461928710938	-459.80093933352964	8.030046459045455e-05
-1.17938911132812	-459.37063367132765	8.130982625171125e-05
-1.17390927734375	-458.4387475589215	8.722804943247863e-05
-1.16789086914062	-458.10021413712803	8.116678852404527e-05
-1.16215185546875	-457.8067238039444	9.690141211238137e-05
-1.1569080078125	-457.47505693377303	7.647253361718788e-05
-1.151134765625	-457.0514704398417	9.509860611649406e-05
-1.14539184570312	-456.6018040258215	6.40284503003274e-05
-1.14015654296875	-456.1906296521123	9.927260082164541e-05
-1.1344185058593799	-456.03632116930754	9.018752763313652e-05
-1.129184765625	-455.50945613205664	9.972288505139646e-05
-1.12392436523438	-455.14654518464584	9.807912161398815e-05
-1.1181791015625	-454.3496105424246	8.557142436230271e-05
-1.1127021972656201	-453.98609706514213	0.00010239406022325483
-1.10744936523438	-453.70692296834596	8.67660303962977e-05
-1.10170888671875	-453.32621264193716	9.120132845137462e-05
-1.095476953125	-452.89326874274536	0.0001081197245610951
-1.08943486328125	-452.3970583171799	9.114432946226524e-05
-1.08316694335938	-451.7027211997749	9.519029502193351e-05
-1.0772056152343799	-451.38943064965736	8.380760727133903e-05
-1.07145961914062	-450.9833149550711	0.00010371050340874223
-1.06543579101562	-450.5871780880603	8.498987986183582e-05
-1.05942856445312	-450.31053521927714	7.698263959196538e-05
-1.05418383789062	-449.7480684560485	9.526721404716923e-05
-1.04918735351562	-449.35934139909375	8.583419484272295e-05
-1.04345703125	-448.57938370553626	9.715219189387528e-05
-1.03745639648438	-448.15294666710366	8.04707802439807e-05
-1.03221142578125	-447.90871610990246	8.031355721716258e-05
-1.02697592773438	-447.3790219536064	7.91670652753533e-05
-1.020992578125	-446.9207437814243	0.00010024814884707664
-1.0152479980468798	-446.71304699314277	9.677544455781475e-05
-1.0054954589843799	-445.8357571970529	9.604919876612175e-05
-0.998008349609375	-445.4697152563077	9.265089202862283e-05
-0.996004541015625	-445.028006096936	7.19015915401079e-05
-0.986528515625	-444.7850480625841	8.869397078752391e-05
-0.98303974609375	-443.93207947685517	8.455265672903136e-05
-0.9770322265625	-443.602599459137	9.011947941209448e-05
-0.9715267578125	-443.1285595168188	9.223645426868761e-05
-0.96601435546875	-442.75986330914884	8.533249529018537e-05
-0.960269140625	-442.47415282202945	8.246424242401903e-05
-0.954784423828125	-441.9390154599509	8.943335332183125e-05
-0.949272265625	-441.60093861219866	7.969185417052781e-05
-0.9435197265625	-440.7689699738898	7.923100143714199e-05
-0.93752822265625	-440.31981455278634	9.032178715264143e-05
-0.93175166015625	-439.9789022623438	7.82022472620698e-05
-0.925991455078125	-439.5604396974734	7.964443127296871e-05
-0.92001787109375	-439.1569176123143	8.566704475338064e-05
-0.9145181640625	-438.7970535708317	7.789712159977382e-05
-0.9087859375	-437.9923996027684	8.14441706005754e-05
-0.90253603515625	-437.6722981148422	6.585426701440651e-05
-0.897257421875	-437.3042373159439	7.507471902344924e-05
-0.8877453125	-436.8259126729258	7.224711474922229e-05
-0.88449931640625	-436.36002756248644	7.457667157524532e-05
-0.878746875	-435.5905460064682	8.42209353045607e-05
